unit_nr,time_cycles,max_cycle,s2,s3,s4,s7,s11,s12,s13,s15,s17,s20,s21
1,1,148,0.8232,0.9123,0.8744,1.0742,1.0757,1.1833,0.8356,0.9666,0.8226,0.8582,0.9959
1,2,148,0.82,0.9278,0.8845,1.1023,1.0758,1.1728,0.8123,0.9803,0.7813,0.8344,0.9899
1,3,148,0.7914,0.928,0.903,1.0699,1.0881,1.1366,0.8331,0.9629,0.8144,0.9043,1.0153
1,4,148,0.8174,0.9236,0.8993,1.082,1.0562,1.1475,0.8452,0.9639,0.8601,0.8709,0.9798
1,5,148,0.8262,0.9398,0.9001,1.1123,1.1006,1.1554,0.8057,0.9582,0.8319,0.858,1.0032
1,6,148,0.8157,0.904,0.9049,1.1073,1.1196,1.1704,0.8226,0.9576,0.7951,0.9078,0.9909
1,7,148,0.8092,0.9264,0.8748,1.0893,1.033,1.1351,0.8235,0.9782,0.8376,0.8878,1.0084
1,8,148,0.8144,0.9338,0.909,1.1015,1.0505,1.1771,0.8437,0.9956,0.8121,0.9295,0.9956
1,9,148,0.8449,0.9136,0.8795,1.0721,1.0689,1.1886,0.8532,0.9846,0.7626,0.9037,1.0152
1,10,148,0.7996,0.8981,0.8907,1.1332,1.0499,1.1496,0.8652,0.9608,0.8054,0.891,0.9772
1,11,148,0.8163,0.8858,0.91,1.0968,1.1218,1.1651,0.8657,0.9426,0.8109,0.8961,1.0416
1,12,148,0.7755,0.9335,0.9041,1.1303,1.0885,1.1607,0.8254,0.944,0.818,0.8854,1.0481
1,13,148,0.7989,0.9194,0.8575,1.0889,1.0793,1.1779,0.8685,0.9704,0.7898,0.8998,1.0161
1,14,148,0.8233,0.8975,0.9169,1.0999,1.0894,1.1884,0.8507,0.9781,0.8616,0.8956,0.9988
1,15,148,0.8154,0.9459,0.8951,1.11,1.1009,1.1497,0.7997,0.9788,0.8199,0.8773,1.0249
1,16,148,0.8268,0.8917,0.9044,1.0947,1.0422,1.1716,0.8372,0.9562,0.8268,0.9019,0.9934
1,17,148,0.8227,0.9368,0.8775,1.1081,1.0757,1.2127,0.7971,0.9887,0.8088,0.8893,1.0492
1,18,148,0.814,0.965,0.884,1.1081,1.0652,1.1474,0.8405,0.9674,0.8207,0.8448,1.0523
1,19,148,0.8109,0.9546,0.8717,1.1075,1.1483,1.1439,0.8058,0.962,0.8273,0.9082,1.037
1,20,148,0.8093,0.8795,0.8851,1.1297,1.0881,1.1198,0.8393,1.0067,0.8654,0.9059,1.0156
1,21,148,0.7874,0.8972,0.8966,1.1138,1.0915,1.1541,0.8144,0.9578,0.7912,0.9084,0.9564
1,22,148,0.8086,0.9274,0.9311,1.1047,1.102,1.1567,0.8241,0.9608,0.8533,0.9172,1.0211
1,23,148,0.8938,0.917,0.9111,1.1109,1.0746,1.2202,0.8766,0.9446,0.8095,0.9049,1.0287
1,24,148,0.7861,0.866,0.8532,1.103,1.0781,1.1755,0.8246,0.9492,0.7724,0.9033,1.02
1,25,148,0.8413,0.9376,0.8937,1.1371,1.0782,1.153,0.8309,0.9648,0.7694,0.9,1.018
1,26,148,0.8102,0.9031,0.9076,1.1468,1.0831,1.1574,0.8299,0.9776,0.7909,0.8941,1.0144
1,27,148,0.8631,0.9429,0.9241,1.0905,1.099,1.1434,0.8519,0.99,0.8033,0.9451,1.0272
1,28,148,0.7749,0.9346,0.8907,1.1083,1.0952,1.1807,0.7967,0.9534,0.8405,0.9295,1.06
1,29,148,0.864,0.8731,0.9196,1.0635,1.1237,1.1785,0.8187,1.0299,0.8382,0.8541,1.0226
1,30,148,0.8041,0.9258,0.8909,1.1434,1.0518,1.1811,0.8904,0.9628,0.8287,0.9051,1.0
1,31,148,0.8381,0.9263,0.8801,1.154,1.1063,1.1706,0.8322,0.9647,0.8542,0.8975,1.0286
1,32,148,0.8188,0.9399,0.901,1.1311,1.0837,1.196,0.8648,0.9818,0.8043,0.8791,1.0005
1,33,148,0.8,0.947,0.9036,1.152,1.1451,1.1776,0.8114,0.9763,0.8242,0.8665,1.0135
1,34,148,0.832,0.9155,0.8868,1.0961,1.1344,1.1743,0.8298,0.9775,0.8504,0.887,1.0325
1,35,148,0.8439,0.9463,0.9413,1.1024,1.1196,1.1599,0.8413,1.0173,0.8481,0.9049,0.9923
1,36,148,0.8407,0.9132,0.8847,1.1011,1.099,1.1281,0.861,0.9932,0.8142,0.9316,1.0381
1,37,148,0.8126,0.9132,0.9261,1.0806,1.0858,1.1664,0.8548,0.9952,0.8306,0.9352,1.0298
1,38,148,0.8208,0.9006,0.9279,1.1331,1.1319,1.1648,0.8547,0.9896,0.8285,0.9082,0.9822
1,39,148,0.8505,0.9486,0.9395,1.178,1.0886,1.1841,0.8553,1.0414,0.7879,0.9213,0.9893
1,40,148,0.7651,0.8819,0.8769,1.1497,1.076,1.1807,0.8266,1.0091,0.8047,0.9436,1.0025
1,41,148,0.8122,0.9376,0.9138,1.1604,1.1025,1.1571,0.8429,0.9802,0.8522,0.9211,1.026
1,42,148,0.8552,0.9221,0.9109,1.1301,1.1401,1.187,0.8493,0.9692,0.8524,0.8974,1.0392
1,43,148,0.7849,0.9638,0.8812,1.1069,1.1296,1.1566,0.8574,0.9993,0.8101,0.9483,1.0704
1,44,148,0.7839,0.9006,0.9378,1.0946,1.0937,1.196,0.8786,0.9929,0.8395,0.8948,1.0667
1,45,148,0.8233,0.9483,0.9047,1.1328,1.1009,1.1901,0.8353,1.0209,0.8751,0.9225,1.0537
1,46,148,0.8594,0.9651,0.9273,1.1372,1.1295,1.1978,0.8375,1.0021,0.7899,0.9173,1.0469
1,47,148,0.8712,0.9461,0.9451,1.1332,1.0815,1.1605,0.8387,0.967,0.8573,0.9133,1.0525
1,48,148,0.8418,0.9712,0.9501,1.1178,1.1028,1.1853,0.8226,1.0223,0.8733,0.92,1.026
1,49,148,0.8701,0.8825,0.9281,1.1404,1.0966,1.2383,0.8926,0.999,0.8408,0.9112,1.027
1,50,148,0.8074,0.9833,0.9523,1.1597,1.0842,1.2588,0.9211,1.0125,0.8202,0.8997,1.0534
1,51,148,0.8191,0.9469,0.9555,1.0996,1.1691,1.2471,0.8362,0.971,0.838,0.8966,1.0367
1,52,148,0.7752,0.9431,0.9764,1.1117,1.1096,1.1666,0.8881,1.0045,0.8995,0.9314,1.0354
1,53,148,0.8613,0.9371,0.8928,1.1519,1.114,1.2133,0.8824,0.9984,0.8598,0.9745,1.017
1,54,148,0.8952,0.9458,0.9098,1.2118,1.1248,1.2482,0.896,0.968,0.853,0.9145,1.0122
1,55,148,0.8006,0.9568,0.9485,1.1582,1.114,1.1909,0.8481,1.0004,0.8228,0.9248,1.05
1,56,148,0.8259,0.9492,0.9129,1.1493,1.1383,1.2198,0.8896,0.9718,0.8422,0.9396,1.07
1,57,148,0.8078,0.9617,0.9689,1.1465,1.1236,1.2294,0.885,1.0378,0.8561,0.9378,1.0325
1,58,148,0.8488,0.9938,0.9314,1.1487,1.1145,1.241,0.8559,1.0462,0.8295,0.9057,1.0617
1,59,148,0.8587,0.969,0.9685,1.1439,1.1426,1.1958,0.9164,1.0403,0.8721,0.9421,1.0359
1,60,148,0.8474,0.9765,0.9399,1.161,1.094,1.2285,0.8633,0.994,0.8543,0.8863,1.0794
1,61,148,0.8822,0.9626,0.9141,1.133,1.1301,1.1572,0.8895,1.0451,0.8514,0.9263,1.0669
1,62,148,0.8697,0.997,0.9444,1.1422,1.1234,1.2331,0.9302,1.0192,0.8319,0.9173,1.0042
1,63,148,0.8708,0.9289,0.9105,1.1077,1.1067,1.2464,0.8503,0.9803,0.8685,0.934,1.078
1,64,148,0.8842,0.9693,0.9103,1.1627,1.1551,1.2159,0.8482,1.0638,0.8532,0.9338,1.0682
1,65,148,0.8943,0.979,0.9397,1.1881,1.2048,1.2749,0.9105,1.0019,0.9747,0.9129,1.0591
1,66,148,0.8461,1.0204,0.9633,1.1295,1.1529,1.2532,0.8837,1.0009,0.8475,0.9366,1.0726
1,67,148,0.853,0.9966,0.9255,1.1228,1.126,1.279,0.878,1.1063,0.8844,0.9173,1.0498
1,68,148,0.877,0.9429,1.0243,1.1465,1.1697,1.285,0.8933,1.0113,0.8639,0.9636,1.1017
1,69,148,0.8733,0.9382,0.9582,1.1581,1.0881,1.2244,0.8563,1.0597,0.9307,1.0095,1.0616
1,70,148,0.8597,1.0016,0.9902,1.168,1.1503,1.3125,0.897,1.0303,0.879,0.974,1.0505
1,71,148,0.8679,0.9488,0.9527,1.2383,1.1789,1.2473,0.8744,1.0376,0.9084,0.9423,1.1258
1,72,148,0.8363,0.9768,1.0148,1.1256,1.1947,1.1977,0.9012,1.0439,0.9037,0.8672,1.0281
1,73,148,0.8621,0.9886,0.9383,1.1812,1.1264,1.2434,0.8806,1.0585,0.8984,1.0058,1.0679
1,74,148,0.8713,0.9911,0.9582,1.1888,1.1175,1.2693,0.8804,1.0248,0.8353,0.9999,1.0856
1,75,148,0.9174,1.0,0.9179,1.1603,1.1898,1.2378,0.8769,1.0504,0.8796,0.9367,1.0824
1,76,148,0.8703,0.9156,0.9866,1.1711,1.209,1.2288,0.864,1.0941,0.8389,0.9501,1.1127
1,77,148,0.8767,0.9459,0.9793,1.1924,1.2112,1.2844,1.0062,1.0105,0.8882,0.9391,1.1322
1,78,148,0.9138,1.0215,0.952,1.1782,1.1128,1.3215,0.9314,1.055,0.9194,0.9967,1.1294
1,79,148,0.841,0.9789,0.984,1.2146,1.2068,1.2413,0.9219,1.133,0.9141,1.0027,1.1015
1,80,148,0.9165,1.0587,0.9835,1.2442,1.1532,1.2934,0.948,1.0447,0.9288,0.9574,1.0798
1,81,148,0.8949,1.0652,0.9921,1.2383,1.1603,1.2806,0.8859,1.0527,0.9229,0.9793,1.1521
1,82,148,0.8907,1.0016,1.0245,1.192,1.1385,1.3216,0.9373,1.0056,0.9005,0.9703,1.164
1,83,148,0.8764,0.9921,0.9588,1.1822,1.1667,1.2394,0.8945,1.0253,0.8546,0.9365,1.0962
1,84,148,0.8799,0.9742,1.0045,1.2165,1.1779,1.2728,0.9788,1.0855,0.9184,0.9064,1.0946
1,85,148,0.8352,1.0017,1.0037,1.1997,1.2106,1.2582,0.9493,1.0317,0.8974,1.0031,1.1347
1,86,148,0.9017,1.0789,0.9813,1.2097,1.11,1.3495,0.9218,1.0461,0.9496,1.0314,1.124
1,87,148,0.8624,1.0334,0.9771,1.1898,1.2333,1.2291,0.9537,1.1005,0.9752,1.0051,1.058
1,88,148,0.8836,1.0247,1.0107,1.2613,1.1407,1.2895,0.969,1.1379,0.9717,0.9848,1.1612
1,89,148,0.9673,1.0636,1.025,1.2596,1.1809,1.2569,0.9719,1.0803,0.9138,0.9812,1.1164
1,90,148,0.9223,0.9949,1.0066,1.2442,1.2068,1.2827,0.9681,1.1544,0.8977,1.042,1.1604
1,91,148,0.8315,1.0058,0.9864,1.2647,1.2184,1.3253,0.9658,1.0679,0.8952,0.9654,1.1292
1,92,148,0.9157,1.0386,0.986,1.272,1.2452,1.3635,0.9707,1.1058,0.9435,1.0273,1.1165
1,93,148,0.9639,1.0917,1.0766,1.247,1.2292,1.3303,0.9501,1.1228,0.9202,1.0038,1.1979
1,94,148,0.9298,1.0407,1.0437,1.254,1.2314,1.3181,0.9127,1.1045,0.8894,1.0196,1.105
1,95,148,0.9569,1.0658,1.0267,1.2491,1.2388,1.2592,0.9191,1.1036,0.9403,1.0128,1.1137
1,96,148,0.9337,1.0291,0.985,1.2666,1.2214,1.3667,0.9796,1.1357,0.9421,0.9903,1.1189
1,97,148,0.8831,1.1421,0.9872,1.2522,1.2197,1.3215,0.9409,1.0526,0.9009,0.9748,1.1486
1,98,148,0.9116,1.0268,1.0329,1.2432,1.266,1.3216,0.9704,1.0734,0.9584,1.0102,1.1695
1,99,148,0.9479,1.0467,1.0358,1.2531,1.2833,1.3692,0.9816,1.0811,0.9024,1.0043,1.1509
1,100,148,0.9544,1.0254,1.0708,1.2696,1.1743,1.3258,0.8815,1.0984,0.9233,1.0088,1.1514
1,101,148,0.9288,1.0384,1.0848,1.3139,1.2068,1.3876,0.9163,1.0993,0.9956,0.9568,1.1848
1,102,148,0.9023,1.0564,1.031,1.3339,1.2213,1.3469,0.9947,1.1213,0.9191,1.033,1.1719
1,103,148,0.9773,1.0323,1.0248,1.2911,1.2465,1.3467,0.9757,1.1094,0.9224,1.0528,1.1349
1,104,148,0.9897,1.0747,0.9995,1.2934,1.2614,1.3828,1.0185,1.1237,0.9281,1.0202,1.1419
1,105,148,0.9272,1.0801,1.0465,1.2706,1.2341,1.3726,0.9647,1.1039,0.9498,1.0348,1.1421
1,106,148,0.9838,1.1024,1.0503,1.2956,1.281,1.3635,1.0152,1.1995,0.9605,1.0619,1.212
1,107,148,0.9465,1.0376,1.0832,1.2408,1.3282,1.3985,0.994,1.1478,1.0208,1.0172,1.1455
1,108,148,0.9403,1.0706,1.0202,1.3039,1.2749,1.3443,1.0458,1.1012,0.9191,1.0659,1.1817
1,109,148,0.9783,1.0613,1.0222,1.28,1.2502,1.3947,0.9766,1.1791,0.9865,1.0921,1.2237
1,110,148,0.994,1.1128,1.0432,1.2971,1.2139,1.3907,0.9727,1.1701,0.9873,1.0119,1.1606
1,111,148,0.9572,1.0711,1.0702,1.2696,1.2831,1.3255,0.9237,1.1846,0.9261,1.0426,1.1498
1,112,148,0.9229,1.0784,1.0531,1.3485,1.3011,1.3796,1.0287,1.2022,0.9891,1.0511,1.2388
1,113,148,1.0376,1.119,1.1332,1.3506,1.3191,1.3545,0.9658,1.1647,0.9187,1.0476,1.2372
1,114,148,0.9547,1.1179,1.0261,1.3044,1.3293,1.4045,1.0184,1.2303,1.0264,1.0407,1.2569
1,115,148,0.9593,1.1017,1.0777,1.364,1.2568,1.4174,1.0298,1.2023,0.976,1.1107,1.1886
1,116,148,1.0251,1.1182,1.0305,1.3445,1.3073,1.3929,0.988,1.1685,0.935,1.1386,1.1774
1,117,148,0.9635,1.1501,1.1048,1.3598,1.3592,1.3987,0.9799,1.2109,1.018,1.0699,1.176
1,118,148,1.0348,1.1332,1.0378,1.3662,1.2571,1.3969,0.9801,1.1614,0.9626,1.0629,1.2511
1,119,148,1.0039,1.1386,1.1299,1.3288,1.3158,1.4381,1.0852,1.2204,1.0455,1.125,1.2671
1,120,148,0.9317,1.1513,1.1016,1.3484,1.2979,1.4077,1.0419,1.2221,0.9445,1.0996,1.2124
1,121,148,0.9649,1.1372,1.0854,1.3267,1.2932,1.4377,1.0297,1.1557,0.9713,1.0884,1.2513
1,122,148,0.9643,1.1442,1.0707,1.4544,1.291,1.4032,1.0404,1.1662,1.0352,1.1642,1.2263
1,123,148,1.0121,1.111,1.1043,1.4116,1.3623,1.4034,1.0932,1.2455,1.026,1.0779,1.2468
1,124,148,0.9798,1.1508,1.0961,1.2814,1.3678,1.4481,1.0795,1.2018,1.0183,1.1465,1.2626
1,125,148,1.0229,1.2558,1.1051,1.3741,1.402,1.416,1.0048,1.1578,1.0343,1.1321,1.2797
1,126,148,0.9654,1.1781,1.1592,1.3687,1.3435,1.4754,1.0601,1.2383,0.9777,1.1061,1.2115
1,127,148,1.0422,1.1642,1.1148,1.3877,1.2888,1.4869,1.0326,1.2232,1.0626,1.0881,1.3049
1,128,148,1.0267,1.1493,1.1428,1.3346,1.3731,1.462,1.092,1.2143,1.0109,1.1336,1.2623
1,129,148,0.9814,1.1447,1.1732,1.3822,1.3228,1.4913,0.9874,1.147,1.0277,1.1302,1.2769
1,130,148,0.9952,1.1501,1.0769,1.3984,1.2991,1.4637,1.07,1.1644,1.0115,1.1567,1.331
1,131,148,0.9754,1.1724,1.0865,1.344,1.4244,1.4993,1.0334,1.2427,1.0588,1.1376,1.3617
1,132,148,1.0584,1.0501,1.1259,1.3715,1.361,1.4795,1.0426,1.1974,1.0896,1.1571,1.2558
1,133,148,1.0648,1.1929,1.1888,1.3639,1.4029,1.4608,1.1146,1.2353,0.9551,1.1396,1.2176
1,134,148,1.0341,1.1689,1.1291,1.352,1.3354,1.4566,1.0648,1.2958,1.0719,1.1241,1.3382
1,135,148,0.9936,1.2012,1.1416,1.4224,1.4069,1.4678,1.1085,1.2505,1.1406,1.1343,1.3425
