fl_date,month,day_of_month,day_of_week,op_unique_carrier,op_carrier_fl_num,origin,dest,crs_dep_time,crs_elapsed_time,distance,arr_delay
2024-05-20,5,20,1,DL,100,JFK,LAX,2200,368,2475,29
2024-01-16,1,16,2,NK,101,JFK,LAX,515,372,2475,9
2024-08-17,8,17,6,NK,102,SFO,SEA,1045,115,679,-10
2024-04-20,4,20,6,B6,103,DFW,DEN,1700,131,641,-8
2024-05-15,5,15,3,AS,104,BOS,MIA,845,187,1258,7
2024-11-12,11,12,2,B6,105,EWR,MCO,700,176,937,-4
2024-02-10,2,10,6,WN,106,MIA,BOS,1345,205,1258,2
2024-07-08,7,8,1,AS,107,DFW,DEN,715,137,641,10
2024-08-24,8,24,6,WN,108,DFW,DEN,2215,141,641,10
2024-04-27,4,27,6,AS,109,JFK,LAX,1300,356,2475,2
2024-12-01,12,1,7,AS,110,SFO,SEA,1915,113,679,10
2024-10-14,10,14,1,UA,111,SFO,SEA,1730,112,679,3
2024-09-09,9,9,1,UA,112,SEA,SFO,915,130,679,30
2024-02-02,2,2,5,NK,113,BOS,MIA,2130,202,1258,4
2024-02-28,2,28,3,AA,114,EWR,MCO,1500,164,937,-2
2024-08-20,8,20,2,NK,115,DFW,DEN,2115,136,641,-2
2024-06-01,6,1,6,DL,116,EWR,MCO,930,179,937,-4
2024-09-28,9,28,6,UA,117,SEA,SFO,500,134,679,5
2024-05-02,5,2,4,AS,118,MIA,BOS,745,211,1258,-8
2024-03-05,3,5,2,DL,119,SEA,SFO,1030,121,679,7
2024-10-03,10,3,4,NK,120,SFO,SEA,1730,119,679,-1
2024-05-06,5,6,1,F9,121,ORD,ATL,2215,128,606,8
2024-02-06,2,6,2,WN,122,JFK,LAX,630,352,2475,24
2024-12-08,12,8,7,WN,123,MIA,BOS,2015,210,1258,8
2024-04-07,4,7,7,F9,124,ATL,JFK,1845,139,760,1
2024-11-30,11,30,6,AA,125,EWR,MCO,1500,162,937,67
2024-10-01,10,1,2,WN,126,SFO,SEA,1915,132,679,-2
2024-10-08,10,8,2,DL,127,DEN,PHX,500,129,602,7
2024-07-27,7,27,6,WN,128,DFW,DEN,615,132,641,2
2024-05-15,5,15,3,AA,129,ATL,JFK,1845,129,760,-1
2024-04-21,4,21,7,WN,130,MIA,BOS,630,186,1258,7
2024-09-01,9,1,7,AA,131,BOS,MIA,600,212,1258,-5
2024-10-31,10,31,4,UA,132,ORD,ATL,815,128,606,2
2024-02-11,2,11,7,AA,133,BOS,MIA,1530,191,1258,6
2024-05-15,5,15,3,AS,134,SFO,SEA,1930,134,679,-1
2024-08-22,8,22,4,DL,135,JFK,LAX,715,366,2475,-7
2024-06-27,6,27,4,B6,136,DFW,DEN,1415,134,641,1
2024-11-30,11,30,6,B6,137,BOS,MIA,1400,215,1258,7
2024-02-29,2,29,4,UA,138,MIA,BOS,1330,204,1258,-6
2024-06-24,6,24,1,WN,139,IAH,LAS,2145,193,1220,-2
2024-11-20,11,20,3,AA,140,ORD,ATL,1515,130,606,16
2024-08-14,8,14,3,B6,141,DFW,DEN,800,150,641,-10
2024-01-19,1,19,5,UA,142,SEA,SFO,1815,106,679,-6
2024-01-21,1,21,7,B6,143,LAX,ORD,830,264,1745,47
2024-03-20,3,20,3,NK,144,BOS,MIA,1045,185,1258,-5
2024-06-19,6,19,3,UA,145,IAH,LAS,1315,210,1220,-3
2024-01-20,1,20,6,DL,146,ATL,JFK,1630,151,760,4
2024-01-13,1,13,6,WN,147,SFO,SEA,730,116,679,-2
2024-10-01,10,1,2,NK,148,EWR,MCO,1030,156,937,49
2024-08-10,8,10,6,DL,149,BOS,MIA,2100,197,1258,3
2024-01-23,1,23,2,WN,150,MIA,BOS,2215,196,1258,119
2024-12-06,12,6,5,NK,151,ORD,ATL,1430,131,606,-7
2024-07-25,7,25,4,NK,152,LAX,ORD,1845,261,1745,-4
2024-10-18,10,18,5,UA,153,BOS,MIA,1430,191,1258,-10
2024-11-06,11,6,3,NK,154,BOS,MIA,1145,210,1258,4
2024-02-13,2,13,2,UA,155,EWR,MCO,1500,181,937,9
2024-06-07,6,7,5,WN,156,EWR,MCO,615,170,937,19
